Age	Sex	Class	Survived
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Alive
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Male	First	Dead
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
Adult	Female	First	Alive
